Nº Contrato|Contratado|Objeto do Contrato|Contratante|Valor do Contrato|
00004488|MAGNUM COMÉRCIO REPRESENTAÇÕES E IMPORTAÇÕES LTDA – EPP|AQUISIÇÃO DE MATERIAL PERMANENTE - ESTANTES DE AÇO DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS.|SECRETARIA MUNICIPAL DO DESENVOLVIMENTO ECONOMICO|4.796,00|
00003619|MAGNUM COMÉRCIO REPRESENTAÇÕES E IMPORTAÇÕES LTDA – EPP|CONTRATO DE Nº 43/2016/SEPOG-COJUR DE FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAL PERMANENTE - ESTANTES DE AÇO, PARA UTILIZAÇÃO NO ARQUIVO CENTRAL DA PREFEITURA MUNICIPAL DE FORTALEZA, CONFORME PREGÃO ELETRÔNICO DE Nº 062/2016 E ATA DE REGISTRO DE PREÇOS DE Nº 86/2016, VIGENTE POR 12 (DOZE) MESES.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|98.100,00|
00004804|MAJELA HOSPITALAR LTDA|AQUISIÇÃO DE MEDICAMENTOS ORAIS E TÓPICOS|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|491,10|
00004623|MAJELA HOSPITALAR LTDA|AQUISIÇÕES DE MEDICAMENTOS  -  ORAIS E TÓPICOS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|1.637,00|
00004795|MAJELA HOSPITALAR LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS ORAIS E TÓPICOS, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO REGISTRO DE PREÇOS Nº 016/2016 PREGÃO ELETRÔNICO Nº 007/2016 CONTRATO Nº 239/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|491,10|
00004634|MAJELA HOSPITALAR LTDA|AQUISIÇÕES DE MEDICAMENTOS  -  CONTROLE ESPECIAL 2|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|21.787,50|
00004589|MAJELA HOSPITALAR LTDA|AQUISIÇÃO DE MEDICAMENTOS SUJEITOS A CONTROLE ESPECIAL 2 PARA ABASTECIMENTO DO HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|57.840,00|
00000197|MAJELA HOSPITALAR LTDA|AQUISIÇÃO DE ANTIMICROBIANOS INJETAVEIS|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|86.400,00|
00000239|MAJELA HOSPITALAR LTDA|AQUISIÇÃO DE ANTIMICROBIANOS INJETÁVEIS, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NA ATA DE REGISTRO DE PREÇOS Nº  20/2016. PREGÃO ELETRÔNICO Nº 284/2015 E CONTRATO Nº 015/2017 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|64.000,00|
00000292|MAJELA HOSPITALAR LTDA|CONSTITUI OBJETO DESTE CONTRATO AQUISIÇÃO DE ANTIMICROBIANOS INJETÁVEIS, CONTRATOS N. 15/2017-SMS, PROCESSO N. P306290/2016, PREGÃO ELETRÔNICO 284/2015.|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|67.200,00|
00000117|MAJELA HOSPITALAR LTDA|PE. N.243/2015 - OBJETO: AQUISIÇÃO DE MEDICAMENTOS SUJEITOS A CONTROLE ESPECIAL 2, DESTINADOS AO INSTITUTO DOUTOR JOSÉ FROTA-IJF, AOS HOSPITAIS DA REDE MUNICIPAL DE SAÚDE, HOSPITAL E MATERNIDADE DRª ZILDA ARNS NEUMANN E SECRETARIA MUNICIPAL DE SAÚDE (SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA-SAMU), DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REGISTRO DE PREÇOS N.55/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|4.218,00|
00000227|MAJELA HOSPITALAR LTDA|REFERE-SE A AQUISIÇÃO DE MATERIAL DE CONSUMO (MEDICAMENTO) PREGAO ELETRONICO Nº 284/2015. CONTRATO Nº 015/2017. VALIDADE 13/08/2017. NECESSÁRIO PARA ESTA UNIDADE HOSPITALAR.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|115.200,00|
00002128|MAPFRE SEGUROS GERAIS S.A|EXECUÇÃO DO SERVIÇO DE SEGURO DOS VEICULAR COM COBERTURA TOTAL (ROUBO, INCÊNDIO, COLISÃO, E OUTROS) COM FRANQUIA REDUZIDA, DESTINADO À FROTA DO IPEM/FORTALEZA.|INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA|68.702,55|
00003365|MAQUILAR COM DE MAQUINAS P ESC E ASSISTENCIA TECNICA LTDA|CONTRATO Nº 34/2016/SEPOG-COJUR DE AQUISIÇÃO DE 01 (UMA) CÂMERA DIGITAL DE LENTE ÚNICA REFLEXIVA COM FLASH EMBUTIDO, PARA ATENDER AS NECESSIDADES DA SECRETARIA DO PLANEJAMENTO, ORÇAMENTO E GESTÃO - SEPOG.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|2.499,00|
00004554|MARELLI MOVEIS PARA ESCRITORIO LTDA|AQUISIÇÃO DE MOBILIÁRIO|AGENCIA DE FISCALIZACAO DE FORTALEZA|3.545,00|
00004655|MARIA FRANCILENE BEZERRA DA SILVA ME|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO COM MONTAGEM DE BRINQUEDOS PARA COMPOSIÇÃO DE PARQUES INFANTIS/AQUISIÇÃO E INSTALAÇÃO DE PLACA ALUSIVA, NO LOCAL DO PROJETO, PARA ATENDER AS NECESSIDADES DA SECRETARIA REGIONAL V, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS CONTIDOS NO ANEXO A - TERMO DE REFERÊNCIA DESTE EDITAL, PREGÃO PRESENCIAL N° 017/2016.|SECRETARIA REGIONAL V|145.899,80|
00003353|MARIA SHIRLIANE QUEROZ SOUSA MONTEIRO|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 14.946,00(QUATORZE MIL NOVECENTOS QUARENTA E SEIS  REAIS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|14.946,00|
00000087|MARINHO SOARES COMERCIO E SERVICOS LTDA|AQUISIÇÃO DE MATERIAL PERMANENTE DIVERSIFICADO DESTINADO A SUPRIR AS NECESSIDADES DOS PROJETOS MULHERES DA PAZ E PROTEJO, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I – TERMO DE REFERÊNCIA DESTE EDITAL E NA PROPOSTA DA CONTRATADA.|SECRETARIA MUNICIPAL DA SEGURANCA CIDADA|3.720,00|
00004844|MARK CONFECCAO DE FARDAMENTOS LTDA - ME|AQUISIÇÃO DE UNIFORMES ESCOLARES PARA OS ALUNOS DA REDE PÚBLICA MUNICIPAL DE ENSINO DE FORTALEZA.|FUNDO MUNICIPAL DE EDUCACAO|122.760,00|
00004846|MARK CONFECCAO DE FARDAMENTOS LTDA - ME|CONTRATO DE AQUISIÇÃO DE UNIFORMES ESCOLARES PARA OS ALUNOS DA REDE PÚBLICA MUNICIPAL DE ENSINO DA FORTALEZA|FUNDO MUNICIPAL DE EDUCACAO|658.983,00|
00003346|MARLON VINICIUS DOS SANTOS FONTINELE|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 14.221,46 (QUATORZE MIL DUZENTOS E VINTE E UM REAIS E QUARENTA E SEIS CENTAVOS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|14.221,46|
00002028|MARUMBI TECNOLOGIA LTDA|AQUISIÇÃO DE 80 MONITORES LED PARA MICROCOMPUTADOR, POSSUINDO 20 POLEGADAS PARA ATENDER AS NECESSIDADES DA PGM.|PROCURADORIA GERAL DO MUNICIPIO|36.960,00|
00003366|MARY HELEN FREITAS DE OLIVEIRA|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 14.957,00(QUATORZE MIL E NOVECENTOS E CINQUENTA E SETE  REAIS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|14.957,00|
00002432|MB EMPRENDIMENTOS HOTELEIROS E TURISTICOS|LOCAÇÃO DE IMÓVEL NÃO RESIDENCIAL, SITUADA A AV. BERNARDO MANOEL,9970, BAIRRO DENDÉ, FORTALEZA-CE, DESTINADO AO FUNCIONAMENTO DO PROGRAMA MAIS EDUCAÇÃO.|FUNDO MUNICIPAL DE EDUCACAO|113.640,00|
00001948|MECANOGRAFIA & LASER LTDA|CONTRATO N 38 2015, PRESTAÇÃO DOS SERVIÇOS DE ASSISTÊNCIA TÉCNICA PREVENTIVA E CORRETIVA QUE ENTRE SI CELEBRAM O IPEM FORTALEZA E EMPRESA MECANOGRÁFICA  LASER LTDA.|INSTITUTO DE PESOS E MEDIDAS|9.996,00|
00004815|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR(LUVAS CIRÚRGICAS E DE PROCEDIMENTO) CONTRATO Nº 313/2016, PREGÃO ELETRÔNICO Nº 087/2016.|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|61.560,00|
00000050|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|REFERE-SE A AQUISIÇÃO DE MATERIAL DE CONSUMO(MATERIAL MEDICO HOSPITALAR) PREGÃO ELETRÔNICO Nº.87/16.CONTRATO Nº.313/16.VALIDADE 15/12/2017.NECESSÁRIO PARA ESTA UNIDADE HOSPITALAR..|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|32.832,00|
00004693|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR LUVAS CIRÚRGICAS E DE PROCEDIMENTO PARA ABASTECIMENTO DO HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|28.728,00|
00000019|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP  21/2016 PE 87/2016 CONT 313/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|24.624,00|
00004616|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|AQUISIÇAO DE MATERIAL MEDICO HOSPITALAR(LUVAS CIRURGICAS E DE PROCEDIMENTOS)CONTRATO DE N-313/2016 PREGAO DE N-087/2016.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|30.780,00|
00004645|MED DONTO COMERCIO DE PRODUTOS HOSPITALARES LTDA|AQUISIÇÕES DE MATERIAIS MÉDICOS HOSPITALARES  -  LUVAS CIRÚRGICAS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|41.040,00|
00003781|MEDI SAUDE PROD MEDICOS HOSP EIRELI ME|CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES (CARROS - MACA)EM CONFORMIDADE COM AS ESPECIFICAÇÕES TÉCNICAS DO PREGÃO ELETRÔNICO Nº 093/2015 CONTRATO Nº 219/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|21.750,00|
00003744|MEDI SAUDE PROD MEDICOS HOSP EIRELI ME|AQUISIÇÃO DE EQUIPAMENTOS (CARROS -MACA) CONFORME ATA 123/2015, PE 93/2015 ,  CONTRATO 219/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|7.250,00|
00003747|MEDI SAUDE PROD MEDICOS HOSP EIRELI ME|AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES (CARROS-MACA) REF. A CARONA DO PREGÃO ELETRÔNICO Nº 093/2015.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|29.000,00|
00003876|MEDI SAUDE PROD MEDICOS HOSP EIRELI ME|AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES (CARRO-MACA), DE ACORDO COM O CONTRATO Nº 219/2016 DO PREGÃO ELETRÔNICO Nº 093/2015.|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|21.750,00|
00003957|MEDICA HOSPITALAR COMERCIO DE PRODUTOS DE SAUDE LTDA - ME|MAT.MEDICO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|25.200,00|
00003857|MEDICA HOSPITALAR COMERCIO DE PRODUTOS DE SAUDE LTDA - ME|AQUISIÇAO DE MATERIAL MEDICO  HOSPITALAR(TUBOS ENDOTRAQUEAIS),DE ACORDO COM AS ESPECIFICAÇOES E QUANTITATIVOS CONTRATO DE N-2018/2016 PREGAO ELETRONICO N-298/2015.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|35.000,00|
00004356|MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA|CONTATO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (LINHA GERAL), CONFORME ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NA ATA DE RP Nº 005/2016 PREGÃO ELETRÔNICO Nº 233/2015 CONTRATO Nº 229/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|804,00|
00004494|MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP  05/2016 PE 233/2015 CONT 229/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|321,60|
00004902|MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA|AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|80.641,74|
00004362|MEDICAL MERCANTIL DE APARELHAGEM MEDICA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR - LINHA GERAL|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|201,00|
00003712|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA 157/2015, PE 123/2014 ,  CONTRATO 92/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|4.800,00|
00003983|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP 09/2016 PE 300/2015 CONTRATO 231/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|10.560,00|
00004562|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|AQUISIÇÃO DE MATERIAL DESCARTAVEL, CONFORME CONTRATO N. 231/2016, PREGÃO ELETRÔNICO 300/2015.|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|27.500,00|
00004818|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|CONSTITUI O OBJETO DESTE CONTRATO A AQUISIÇÃO DE MATERIAL DESCARTÁVEL, DESTINADOS AOS HOSPITAIS DA REDE MUNICIPAL DE SAÚDE E SECRETARIA MUNICIPAL DA SAÚDE ( SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA - SAMU E CENTRAL DE ATENDIMENTO FARMACÊUTICO - CELAF), DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 231/2016 - SMS, PROCESSO N° P206339/2016 E NA ATA DE REGISTRO DE PREÇOS N° 009/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 300/2015 E SEUS ANEXOS, O QUE CONSTA NOS AUTOS DO PROCESSO ADMINISTRATIVO N° P776862/2015.|HOSPITAL LUCIA DE FATIMA/CROA|11.280,00|
00003920|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|MAT.MEDICO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|11.070,00|
00003874|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|AQUISIÇAO DE MATERIAL DESCARTÁVEL DESTINADOS A REDE MUNICIPAL DE ACORDO COM AS ESPECIFICAÇÃO E QUANTITATIVOS NA ATA DE PREÇO N-009/2016 PREGÃO ELETRÔNICO N-300/2015 CONTRATO DE N-231/2016.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|7.380,00|
00003739|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|MAT.MED.HOSP.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|2.880,00|
00003726|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|REFERENTE A AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR  (DESCARTÁVEL E OUTROS) DESCRITOS NA ARP Nº 157/2015 PE Nº 123/2014 E CONTRATO Nº 092/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|2.880,00|
00003755|MEDICALTEX INDÚSTRIA E COMÉRCIO LTDA EPP|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR(DESCARTÁVEL E OUTROS), PARA ATENDER AS DEMANDAS DOS HOSPITAL, SAMU FORTALEZA E COVIS, LIGADOS A REDE MUNICIPAL DE SAÚDE, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REGISTRO DE PREÇOS N.157/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|3.840,00|
00004217|MEGA COMERCIO DE EQUIPAMENTOS DE PROTEÇÃO LTDA|CONTRATO Nº50/2016, REFERENTE A AQUISIÇÃO DE MATERIAL PERMANENTE (LEITOR BIOMÉTRICO), PARA UTILIZAÇÃO NO CONTROLE DE PONTO DA PREFEITURA MUNICIPAL DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES DO EDITAL DO PREGÃO ELETRÔNICO Nº82/2015.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|65.000,00|
00001600|MELOC LOCACAO DE EQUIPAMENTOS LTDA|CONSTITUIR OBJETO DESTE CONTRATO, A CONTRATAÇÃO DE EMPRESA NA PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE 03 (TRÊS) CONTAINERS PARA ESCRITÓRIO, SOB DEMANDA, INCLUINDO ENTREGA E RETIRADA ONDE FUNCIONARÃO SALAS DE APOIO AS AÇÕES DO PROJETO CIDADE LIMPA.|AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL|1.137.600,00|
00000284|MF URBANA E LOCAÇÃO DE IMOVEIS LTDA|O PRESENTE CONTRATO TEM POR OBJETO A LOCAÇÃO DO IMÓVEL SITUADO NA AV. DEPUTADO PAULINO ROCHA, NO 1.343, GALPAO I, CONSTANTE DA MATRICULA NO 11.400-CRI 6A ZONA DA COMARCA DE FORTALEZA, NO BAIRRO CAJAZEIRAS, NESTA CAPITAL, DESTINADO AO FUNCIONAMENTO DA SECRETARIA MUNICIPAL DE URBANISMO E MEIO AMBIENTE – SEUMA.|SECRETARIA MUNICIPAL DO URBANISMO E MEIO AMBIENTE|1.272.000,00|
00000020|MF URBANA E LOCAÇÃO DE IMOVEIS LTDA|LOCACAO DE DOIS IMOVEIS URBANOS SITUADO NESTA CAPITAL NA AV PAULINHO ROCHA N.1343-A E 1343-B GALPOES II E III|SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO E INFRA-ESTRUTURA|1.447.974,00|
00002073|MF URBANA E LOCAÇÃO DE IMOVEIS LTDA|LOCAÇÃO IMÓVEL COMERCIAL DESTINADO AO FUNCIONAMENTO DA AGEFIS|AGENCIA DE FISCALIZACAO DE FORTALEZA|420.000,00|
00001481|MISSAO SERVICOS TECNICOS EIRELI|CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA TERCEIRIZADA PARA ATENDER AS NECESSIDADES DA SEPOG POR 12(DOZE) MESES, DE ACORDO COM O PREGÃO ELETRÔNICO DE Nº 164/2015.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|2.219.153,64|
00001497|MISSAO SERVICOS TECNICOS EIRELI|CONTRATAÇÃO DE PESSOA JURÍDICA PARA A PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA TERCEIRIZADA, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS - SCSP, DE ACORDO COM ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I - TERMO DE REFERÊNCIA DO EDITAL DO PREGÃO Nº 130/2015.|SECRETARIA MUNICIPAL DA CONSERVACAO E SERVICOS PUBLICOS|1.594.329,72|
00001961|MOBIT MOBILIDADE ILUMINAÇÃO E TECNOLOGIA LTDA|SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA|TRANA TECNOLOGIA DA INFORMAÇÃO E CONSTRUCOES LTDA|PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA DE TRÁFEGO, APOIO OPERACIONAL, CONTROLE E MONITORAMENTO DO TRÁFEGO, ORIENTAÇÃO E PRESTAÇÃO DE INFORMAÇÕES AOS USUÁRIOS DO SISTEMA VIÁRIO DA CIDADE DE FORTALEZA EM CARÁTER COMPLEMENTAR AS AÇÕES REALIZADAS PELA AUTARQUIA MUNICIPAL DE TRÂNSITO, CIDADANIA E SERVIÇOS PÚBLICOS - AMC, CONFORME ESPECIFICAÇÕES CONTIDAS NO TERMO DE REFERÊNCIA E SEUS ANEXOS, CONSTANTES DO ANEXO I DESTE EDITAL.|SECRETARIA MUNICIPAL DE CONSERVACAO E SERVICOS PUBLICOS|53.379.000,00|
00000844|MONICA MARIA TEIXEIRA DE MOURA|LOCACAO DE IMOVEL DESTINADO A INSTALACAO DO ALMOXARIFADO DO IPMLOCALIZADO NA RUA MAJOR FACUNDO 1310 CENTRO.|INST PREVIDENCIA DO MUNICIPIO - PREVFOR|20.640,00|
00003974|MORPHUS TECNOLOGIA DA INFORMACAO LTDA|CONTRATO Nº 36/2016 DE SERVIÇO DE CONSULTORIA PARA PLANEJAMENTO E IMPLANTAÇÃO DE UM SISTEMA DE GESTÃO DE SEGURANÇA DA INFORMAÇÃO (SGSI), E PLANO DE CONTINUIDADE DE NEGÓCIO COM BASE NA REFORMULAÇÃO DOS SISTEMAS DE SEGURANÇA EXISTENTES, EM CONSONÂNCIA AOS REQUISITOS DA NORMA ABNT NBR ISO/IEC 27001;2013, AOS CONTROLES DA NORMA DE PLANEJAMENTO E IMPLANTAÇÃO DE UM PLANO DE CONTINUIDADE DE NEGÓCIO ALINHADO A ABNT NBR ISO/IEC 15999;2008 E ABNT NBR ISO/IEC22301;2012, DE ACORDO COM O PREGÃO ELETRÔNICO DE Nº 155/2015, COM VIGÊNCIA POR 12(DOZE) MESES.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|448.000,00|
00003845|MOTOR TRAILER DO BRASIL LTDA|AQUISIÇÃO DE UM EQUIPAMENTO MÓVEL TIPO TRAILER PARA USO NAS AÇÕES DE CONTROLE DE PROCRIAÇÃO E SAÚDE ANIMAL DE FELINOS E CANINOS DE PEQUENO PORTE NAS VIAS PÚBLICAS DO MUNICÍPIO DE FORTALEZA, DE ACORDO COM AS NORMAS E ESPECIFICAÇÕES TÉCNICAS E QUANTITATIVOS NO ANEXO I - TERMO DE REFERÊNCIA DO EDITAL E NA PROPOSTA CONTRATADA.|FUNDO DE DEFESA DO MEIO AMBIENTE|254.900,00|
00004789|MOVEIS ANDRADE IND E COM DE MOVEIS HOSP LTDA|PREGÃO ELETRÔNICO N.032/2016 - OBJETO: AQUISIÇÃO DE MOBILIÁRIO HOSPITALAR, PARA SECRETARIA MUNICIPAL DA SAÚDE DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REGISTRO DE PREÇOS N. 082/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|80.000,00|
00004509|MOVENORD MOVEIS DO NORDESTE LTDA|ADESÃO A ATA DE REGISTRO DE PREÇOS 97/2016 QUE VISA A CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE MOBILIÁRIO E EQUIPAMENTOS DE APOIO PARA ATENDER AS NECESSIDADES DO CONSELHO TUTELAR REFERENCIAL - ÁREA DE ABRANGÊNCIA DA REGIONAL VI.|SECRETARIA REGIONAL VI|17.730,56|
00004208|MPA VALENTE SERVICE ME|AQUISIÇÃO DE EQUIPAMENTOS DE CLIMATIZAÇÃO (04) QUATRO APARELHOS DE AR CONDICIONADO TIPO SPLIT DE 36.000 BTUS, VISANDO ATENDER AS NECESSIDADES DA CENTRAL DE ACOLHIMENTO E DEMAIS UNIDADES DESTA SECRETARIA.|SECRETARIA REGIONAL II|35.916,00|
00004049|MPA VALENTE SERVICE ME|O PRESENTE CONTRATO TEM POR OBJETO A CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE CENTRAIS DE AR, SEM INSTALAÇÃO POR MEIO DE ADESÃO (CARONA) A ATA DE REGISTRO DE PREÇO Nº 0001/2016 ADVINDA DO PE Nº 004/2016-INSTITUTO FEDERAL DE EDUC CIÊNCIA E TEC DO CE - CAMPUS IGUATU.|SECRETARIA MUNICIPAL DA CULTURA DE FORTALEZA|167.085,00|
